appid,voted_up,review
730,1,ПОЛНАЯ ХУЕТА КРАСНЫЙ ТРАСТ ФАКТОР ЗА 2 ИГРЫ
730,1,재능기부좀 재능부럽다 재능무섭네 재능이밉다 세상이밉다 기부좀 4 444 죽으세요 죽어 죽여 죽으세용 후앵 우앵 우왕 헤에 우홋 잘해서좋겠다 사망하여라 뿌에에엥~ 나만않되 나도재능좀 시간기부좀 오늘의허접 오늘의무능 오늘의몸부림 오늘의우앵 오늘의붕슨 그리살아라 그리사세요 그리죽어라 왜나는못해 무슨기분일까 죽을까요 유서쓰는중 안녕히재능기부좀 재능부럽다 재능무섭네 재능이밉다 세상이밉다 기부좀 4 444 죽으세요 죽어 죽여 죽으세용 후앵 우앵 우왕 헤에 우홋 잘해서좋겠다 사망하여라 뿌에에엥~ 나만않되 나도재능좀 시간기부좀 오늘의허접 오늘의무능 오늘의몸부림 오늘의우앵 오늘의붕슨 그리살아라 그리사세요 그리죽어라 왜나는못해 무슨기분일까 죽을까요 유서쓰는중 안녕히재능기부좀 재능부럽다 재능무섭네 재능이밉다 세상이밉다 기부좀
730,1,"russia=suka bulyt china=chaonima english=fxxk you bixh let'go"
730,0,중국인을 모두 말려죽어야한다. 더스트에서 매크로 계정으로 가득 채운다음 남은 사람들을 강퇴투표하며 작업장으로 쓴다. 핵쟁이 닉네임은 그냥 랜덤코드닉으로 쓰는데 안봐도 중국인이다. 걸러라
730,1,Greatest Game Of All Fucking Time
730,1,"딱히 리뷰 할 거리가 없는 명작, 카운터 스트라이크 2입니다. 오래 되었지만, 아직도 많은 사람이 플레이하고 즐기는 FPS입니다. FPS를 처음 하는 사람보단, 이미 FPS를 즐기고 있거나 해보았던 사람들에게 추천해주고 싶은 작품이에요.  기본적으로 상당히 어려운 축에 속합니다. 허나, 맛을 들이면 자주 찾게 되는 게임이죠."
730,1,"처음 FPS를 입문할때는 이게임은 비추천 다른 FPS게임들로 총게임에 익숙해진 후 입문을 추천, 게임에 핵이 존나 많아, 카스2를 주로 하는사람들은 사설서버를 즐기는데 사실상 이용가능한 사설서버가 중국서버밖에 없어 그냥 한국사람이 하기 좀 힘든 게임, 그래도 취향 맞으면 재밌음"
730,0,Güzel oyun ama 3 oyuncudan 2 si hile o yüzden fazla kasmayın...
730,1,https://steamcommunity.com/id/stewie2ktv/inventory/#730_2_14897275179
730,1,프리미어로 돌리면 핵도 별로 없는듯   진짜 재미있는 FPS게임.. 스킬 알아야하는것도없고 그냥 단순히 에임대결
